cpg,gene,chromosome,f_type
cg22916722,Intergenic,chr14,Island
cg22918949,Intergenic,chr10,Open_Sea
cg22919908,Intergenic,chr4,S_Shelf
cg22920954,Intergenic,chr21,Open_Sea
cg22927009,Intergenic,chr9,Island
cg22930859,Intergenic,chr14,Island
cg22931085,Intergenic,chr2,Open_Sea
cg22934849,Intergenic,chr6,N_Shore
cg22935533,Intergenic,chr4,Open_Sea
cg22935539,Intergenic,chr5,N_Shelf
cg22937607,Intergenic,chr12,Open_Sea
cg22940031,Intergenic,chr7,Island
cg22946582,Intergenic,chr10,N_Shore
cg22946615,Intergenic,chr10,Open_Sea
cg22947748,Intergenic,chr6,Island
cg22947965,Intergenic,chr11,Open_Sea
cg22948959,Intergenic,chr1,Open_Sea
cg22949345,Intergenic,chr12,S_Shelf
cg22950493,Intergenic,chr7,S_Shelf
cg22950831,Intergenic,chr10,N_Shelf
cg22953960,Intergenic,chr10,Island
cg22955778,Intergenic,chr6,N_Shore
cg22957360,Intergenic,chr10,N_Shore
cg22962923,Intergenic,chr1,Island
cg22963652,Intergenic,chr10,N_Shore
cg22964929,Intergenic,chr17,Island
cg22967106,Intergenic,chr6,Open_Sea
cg22967542,Intergenic,chr7,S_Shore
cg22968966,Intergenic,chr16,Island
cg22969666,Intergenic,chr14,S_Shelf
cg22971157,Intergenic,chr5,N_Shore
cg22973003,Intergenic,chr12,Open_Sea
cg22973468,Intergenic,chr8,Island
cg22974100,Intergenic,chr15,N_Shelf
cg22974236,Intergenic,chr4,Island
cg22976832,Intergenic,chr10,Open_Sea
cg22977481,Intergenic,chr2,Open_Sea
cg22977892,Intergenic,chr8,Island
cg22980453,Intergenic,*,Open_Sea
cg22983827,Intergenic,chr6,Open_Sea
cg22986569,Intergenic,chr5,Open_Sea
cg22988430,Intergenic,*,Open_Sea
cg22989496,Intergenic,chr11,N_Shelf
cg22991596,Intergenic,chr2,S_Shelf
cg22992137,Intergenic,chr2,Open_Sea
cg22995692,Intergenic,chr5,Island
cg23002238,Intergenic,chr13,Open_Sea
cg23002316,Intergenic,chr7,Open_Sea
cg23004758,Intergenic,chr13,Island
cg23006227,Intergenic,chr4,S_Shore
cg23006394,Intergenic,chr7,Open_Sea
cg23006567,Intergenic,chr19,N_Shelf
cg23007076,Intergenic,*,Open_Sea
cg23008718,Intergenic,chr2,Open_Sea
cg23008871,Intergenic,chr17,Open_Sea
cg23009290,Intergenic,chr3,N_Shelf
cg23010507,Intergenic,chr5,S_Shelf
cg23011516,Intergenic,chr15,Open_Sea
cg23012855,Intergenic,chr1,Open_Sea
cg23012917,Intergenic,chr1,Island
cg23013034,Intergenic,chr1,S_Shore
cg23019886,Intergenic,chr12,Open_Sea
cg23024136,Intergenic,chr5,Island
cg23026228,Intergenic,chr6,S_Shelf
cg23026896,Intergenic,chr15,Open_Sea
cg23030159,Intergenic,chr7,Open_Sea
cg23030853,Intergenic,chr13,Open_Sea
cg23031444,Intergenic,chr11,Open_Sea
cg23031975,Intergenic,chr2,Open_Sea
cg23033691,Intergenic,chr11,N_Shelf
cg23034485,Intergenic,chr19,N_Shelf
cg23034922,Intergenic,chr1,N_Shore
cg23035597,Intergenic,chr1,Open_Sea
cg23036804,Intergenic,chr13,Island
cg23036949,Intergenic,chr3,Open_Sea
cg23039195,Intergenic,chr10,Island
cg23041109,Intergenic,chr13,Open_Sea
cg23046844,Intergenic,chr10,S_Shore
cg23047671,Intergenic,chr5,Open_Sea
cg23051046,Intergenic,chr2,S_Shore
cg23056703,Intergenic,chr3,Open_Sea
cg23057009,Intergenic,chr10,N_Shore
cg23058405,Intergenic,chr3,Island
cg23058719,Intergenic,chr4,Open_Sea
cg23058998,Intergenic,chr5,Open_Sea
cg23060047,Intergenic,chr12,N_Shelf
cg23060646,Intergenic,chr3,Island
cg23061795,Intergenic,chr11,Open_Sea
cg23063945,Intergenic,*,Open_Sea
cg23064609,Intergenic,chr2,Island
cg23066414,Intergenic,chr5,N_Shelf
cg23067856,Intergenic,chr2,S_Shelf
cg23068913,Intergenic,chr10,Island
cg23072161,Intergenic,chr1,Open_Sea
cg23073879,Intergenic,chr7,N_Shore
cg23074732,Intergenic,chr22,Island
cg23074979,Intergenic,chr7,S_Shelf
cg23075303,Intergenic,chr4,Island
cg23077012,Intergenic,chr22,N_Shelf
cg23079252,Intergenic,chr6,Island
cg23090653,Intergenic,chr6,Open_Sea
cg23091159,Intergenic,chr4,Island
cg23092381,Intergenic,*,Open_Sea
cg23093609,Intergenic,chr22,Island
cg23098371,Intergenic,chr1,Island
cg23098803,Intergenic,chr1,Island
cg23099587,Intergenic,chr4,Open_Sea
cg23101649,Intergenic,chr13,Open_Sea
cg23102014,Intergenic,chr15,Open_Sea
cg23103043,Intergenic,chr17,Open_Sea
cg23104436,Intergenic,chr11,Open_Sea
cg23108232,Intergenic,chr14,Open_Sea
cg23108931,Intergenic,chr8,Island
cg23109968,Intergenic,chr4,Open_Sea
cg23111196,Intergenic,chr5,Open_Sea
cg23111300,Intergenic,chr5,Open_Sea
cg23115907,Intergenic,chr6,S_Shore
cg23118561,Intergenic,chr13,Open_Sea
cg23123017,Intergenic,chr8,S_Shore
cg23123267,Intergenic,*,Open_Sea
cg23127986,Intergenic,chr6,Open_Sea
cg23128495,Intergenic,chr12,Open_Sea
cg23130849,Intergenic,chr12,Open_Sea
cg23133011,Intergenic,chr11,N_Shore
cg23133355,Intergenic,chr7,Open_Sea
cg23137666,Intergenic,chr2,S_Shelf
cg23137936,Intergenic,chr11,Open_Sea
cg23138250,Intergenic,chr5,Open_Sea
cg23138413,Intergenic,chr8,Open_Sea
cg23141355,Intergenic,chr3,Island
cg23142048,Intergenic,chr14,Open_Sea
cg23143104,Intergenic,chr14,S_Shelf
cg23144681,Intergenic,chr10,S_Shore
cg23145621,Intergenic,chr7,N_Shelf
cg23146565,Intergenic,chr17,N_Shore
cg23149300,Intergenic,chr10,Open_Sea
cg23149825,Intergenic,chr7,Open_Sea
cg23152235,Intergenic,chr11,Open_Sea
cg23152641,Intergenic,chr7,S_Shore
cg23153227,Intergenic,chr6,Island
cg23153481,Intergenic,chr13,Island
cg23153745,Intergenic,chr2,Open_Sea
cg23153991,Intergenic,chr3,S_Shelf
cg23155606,Intergenic,chr13,Island
cg23155785,Intergenic,chr14,S_Shore
cg23155932,Intergenic,*,Open_Sea
cg23156371,Intergenic,chr8,S_Shelf
cg23159693,Intergenic,*,Open_Sea
cg23160142,Intergenic,chr10,Open_Sea
cg23160829,Intergenic,chr6,Open_Sea
cg23162983,Intergenic,chr17,N_Shore
cg23163283,Intergenic,chr17,N_Shore
cg23164076,Intergenic,chr6,Open_Sea
cg23164855,Intergenic,chr1,N_Shore
cg23166865,Intergenic,chr1,Open_Sea
cg23167287,Intergenic,chr2,S_Shelf
cg23167506,Intergenic,chr7,Open_Sea
cg23168531,Intergenic,chr7,Island
cg23170495,Intergenic,chr10,Open_Sea
cg23171972,Intergenic,chr8,S_Shore
cg23173402,Intergenic,chr1,Open_Sea
cg23173688,Intergenic,chr1,Island
cg23174148,Intergenic,chr3,Open_Sea
cg23177576,Intergenic,chr2,Open_Sea
cg23177772,Intergenic,chr2,Island
cg23180841,Intergenic,chr2,Open_Sea
cg23180941,Intergenic,chr5,Open_Sea
cg23181580,Intergenic,chr11,Island
cg23181831,Intergenic,chr13,Open_Sea
cg23182836,Intergenic,chr20,N_Shelf
cg23183988,Intergenic,chrX,S_Shelf
cg23184756,Intergenic,chr7,S_Shelf
cg23185829,Intergenic,chr6,Island
cg23186823,Intergenic,chr13,Open_Sea
cg23188704,Intergenic,chr5,N_Shore
cg23197297,Intergenic,chr8,Open_Sea
cg23197628,Intergenic,chr13,Open_Sea
cg23198025,Intergenic,chr13,N_Shelf
cg23198815,Intergenic,chr11,Open_Sea
cg23201513,Intergenic,chr6,S_Shore
cg23201676,Intergenic,chr15,Open_Sea
cg23201695,Intergenic,chr8,Open_Sea
cg23201812,Intergenic,chr11,Open_Sea
cg23203918,Intergenic,chr8,Open_Sea
cg23204096,Intergenic,chr6,Open_Sea
cg23205231,Intergenic,chr4,Open_Sea
cg23205387,Intergenic,chr7,Island
cg23208176,Intergenic,chr5,Island
cg23211535,Intergenic,chr5,Open_Sea
cg23213449,Intergenic,chr1,Open_Sea
cg23214895,Intergenic,chr3,Open_Sea
cg23216434,Intergenic,chr1,Open_Sea
cg23217025,Intergenic,chr2,Island
cg23217153,Intergenic,chr2,Island
cg23217622,Intergenic,chr1,Island
cg23219748,Intergenic,chr11,Open_Sea
cg23220012,Intergenic,chr11,Open_Sea
cg23222160,Intergenic,chr14,Open_Sea
cg23222488,Intergenic,chr5,N_Shelf
cg23223319,Intergenic,chr6,S_Shore
cg23224042,Intergenic,chr8,N_Shelf
cg23224142,Intergenic,chr8,Open_Sea
cg23226249,Intergenic,chr1,N_Shore
cg23227621,Intergenic,chr5,Open_Sea
cg23235223,Intergenic,chr10,Open_Sea
cg23236325,Intergenic,chr22,Island
cg23237733,Intergenic,*,Open_Sea
cg23237972,Intergenic,chr1,N_Shore
cg23239344,Intergenic,chr2,Open_Sea
cg23239647,Intergenic,chr2,N_Shelf
cg23240465,Intergenic,chr1,N_Shore
cg23243030,Intergenic,chr1,Open_Sea
cg23243400,Intergenic,chr7,S_Shore
cg23243884,Intergenic,*,Open_Sea
cg23244910,Intergenic,chr6,Island
cg23247845,Intergenic,chr10,Open_Sea
cg23250574,Intergenic,chr6,Open_Sea
cg23251701,Intergenic,chr5,Open_Sea
cg23251798,Intergenic,chr1,Open_Sea
cg23254393,Intergenic,chr4,Island
cg23257502,Intergenic,chr12,Open_Sea
cg23258173,Intergenic,chr2,Open_Sea
cg23260554,Intergenic,chr1,Open_Sea
cg23261319,Intergenic,chr2,Open_Sea
cg23261743,Intergenic,chr12,N_Shore
cg23261919,Intergenic,chr10,N_Shelf
cg23262036,Intergenic,chr7,S_Shore
cg23263911,Intergenic,chr12,Open_Sea
cg23268102,Intergenic,chr5,Open_Sea
cg23274984,Intergenic,chr2,Open_Sea
cg23275958,Intergenic,chr17,Open_Sea
cg23276399,Intergenic,chr14,N_Shelf
cg23279117,Intergenic,chr1,Island
cg23279335,Intergenic,chr11,Open_Sea
cg23287510,Intergenic,chr8,S_Shore
cg23288725,Intergenic,chr8,Island
cg23288838,Intergenic,chr8,Open_Sea
cg23291886,Intergenic,chr4,S_Shore
cg23299484,Intergenic,chr11,Open_Sea
cg23299618,Intergenic,chr11,Open_Sea
cg23302945,Intergenic,chr2,Open_Sea
cg23304165,Intergenic,chr7,S_Shore
cg23304784,Intergenic,chr8,Open_Sea
cg23305129,Intergenic,chr7,Island
cg23305899,Intergenic,chr14,Open_Sea
cg23310835,Intergenic,chr19,Island
cg23311905,Intergenic,chr12,N_Shore
cg23313755,Intergenic,chr10,Open_Sea
cg23314514,Intergenic,chr14,Open_Sea
cg23315424,Intergenic,chr14,Open_Sea
cg23316060,Intergenic,chr19,Open_Sea
cg23316191,Intergenic,chr6,Open_Sea
cg23316253,Intergenic,chr10,Island
cg23316648,Intergenic,chr4,Open_Sea
cg23318812,Intergenic,chr12,Island
cg23321038,Intergenic,chr8,Open_Sea
cg23322685,Intergenic,chr8,Open_Sea
cg23323891,Intergenic,chr14,Open_Sea
cg23328109,Intergenic,*,Open_Sea
cg23328923,Intergenic,chr3,Open_Sea
cg23329411,Intergenic,chr10,Open_Sea
cg23338773,Intergenic,chr7,N_Shore
cg23340218,Intergenic,chr3,Open_Sea
cg23342045,Intergenic,chr19,N_Shore
cg23347094,Intergenic,chr19,S_Shelf
cg23347501,Intergenic,chr21,Island
cg23349517,Intergenic,chr2,N_Shelf
cg23349982,Intergenic,chr2,Open_Sea
cg23350580,Intergenic,*,Open_Sea
cg23350744,Intergenic,chr5,N_Shelf
cg23356302,Intergenic,chr14,S_Shore
cg23356451,Intergenic,chr13,Open_Sea
cg23361103,Intergenic,chr5,S_Shore
cg23361659,Intergenic,chr2,Open_Sea
cg23364040,Intergenic,chrX,Island
cg23366979,Intergenic,chr5,Open_Sea
cg23367107,Intergenic,chr12,Island
cg23368159,Intergenic,chr6,S_Shelf
cg23368458,Intergenic,chr14,S_Shelf
cg23368579,Intergenic,chr18,S_Shelf
cg23369107,Intergenic,chr2,N_Shelf
cg23375598,Intergenic,chr14,Open_Sea
cg23375877,Intergenic,chr17,Open_Sea
cg23375895,Intergenic,chr6,N_Shore
cg23377395,Intergenic,chr11,Open_Sea
cg23380751,Intergenic,chr14,Open_Sea
cg23381028,Intergenic,chr6,N_Shelf
cg23383871,Intergenic,chr20,Island
cg23389465,Intergenic,chr5,S_Shore
cg23390488,Intergenic,*,Open_Sea
cg23390595,Intergenic,chr7,S_Shelf
cg23391090,Intergenic,chr10,Open_Sea
cg23391473,Intergenic,chr2,Open_Sea
cg23393242,Intergenic,chr7,Island
cg23393615,Intergenic,chr12,Open_Sea
cg23394729,Intergenic,chr1,Open_Sea
cg23395449,Intergenic,chr5,Island
cg23397023,Intergenic,chr7,S_Shore
cg23398560,Intergenic,chr7,Open_Sea
cg23400056,Intergenic,chr5,Open_Sea
cg23401601,Intergenic,chr13,Open_Sea
cg23403144,Intergenic,chr5,S_Shore
cg23405152,Intergenic,chr2,Island
cg23407151,Intergenic,chr6,Open_Sea
cg23407804,Intergenic,chr5,Open_Sea
cg23408116,Intergenic,chr4,Open_Sea
cg23408558,Intergenic,chr5,Open_Sea
cg23410483,Intergenic,chr10,Island
cg23411426,Intergenic,chr8,Open_Sea
cg23411529,Intergenic,chr14,S_Shore
cg23413104,Intergenic,chr2,Island
cg23413527,Intergenic,chr15,Open_Sea
cg23414330,Intergenic,chr10,S_Shelf
cg23415052,Intergenic,chr17,S_Shore
cg23415203,Intergenic,chr17,Open_Sea
cg23418465,Intergenic,chr3,N_Shelf
cg23418467,Intergenic,chr4,Island
cg23419907,Intergenic,chr2,Open_Sea
cg23429510,Intergenic,chr2,S_Shore
cg23432368,Intergenic,chr2,Open_Sea
cg23436042,Intergenic,chr5,Open_Sea
cg23438893,Intergenic,chr14,N_Shore
cg23441248,Intergenic,chr15,Open_Sea
cg23441328,Intergenic,chr5,Open_Sea
cg23444418,Intergenic,chr13,N_Shelf
cg23445294,Intergenic,chr3,Open_Sea
cg23449122,Intergenic,*,Open_Sea
cg23451291,Intergenic,chr7,N_Shore
cg23452503,Intergenic,chrX,S_Shore
cg23452969,Intergenic,chr11,Island
cg23457518,Intergenic,chr10,S_Shelf
cg23457588,Intergenic,chr10,Island
cg23458887,Intergenic,chr10,Open_Sea
cg23459363,Intergenic,chr10,Open_Sea
cg23460851,Intergenic,chr4,S_Shelf
cg23461361,Intergenic,chr12,Open_Sea
cg23461488,Intergenic,chr2,S_Shore
cg23464619,Intergenic,chr13,Open_Sea
cg23465685,Intergenic,chr7,Open_Sea
cg23466491,Intergenic,chr13,Open_Sea
cg23466749,Intergenic,chr6,S_Shelf
cg23470538,Intergenic,chr5,Open_Sea
cg23471393,Intergenic,chr17,N_Shelf
cg23473297,Intergenic,chr17,N_Shore
cg23473396,Intergenic,chrX,Island
cg23474049,Intergenic,chr17,N_Shore
cg23475618,Intergenic,chr7,Open_Sea
cg23475625,Intergenic,chr7,Island
cg23476877,Intergenic,chr5,Island
cg23477460,Intergenic,chr3,Open_Sea
cg23480697,Intergenic,chr6,Island
cg23480730,Intergenic,chr14,N_Shore
cg23484230,Intergenic,chr10,Open_Sea
cg23485591,Intergenic,chr7,Open_Sea
cg23487517,Intergenic,chr11,Open_Sea
cg23489434,Intergenic,*,Open_Sea
cg23490887,Intergenic,chr6,Island
cg23491807,Intergenic,chr11,Open_Sea
cg23493020,Intergenic,chr14,Open_Sea
cg23493787,Intergenic,chr8,Open_Sea
cg23499632,Intergenic,chr5,Open_Sea
cg23500537,Intergenic,chr5,Open_Sea
cg23502888,Intergenic,chr11,N_Shelf
cg23504522,Intergenic,chr13,N_Shelf
cg23508813,Intergenic,chr3,S_Shore
cg23510313,Intergenic,chr10,Open_Sea
cg23510764,Intergenic,chr5,Open_Sea
cg23514340,Intergenic,chr8,Open_Sea
cg23515556,Intergenic,*,Open_Sea
cg23516310,Intergenic,chr7,Open_Sea
cg23517116,Intergenic,chr8,S_Shore
cg23517999,Intergenic,chr2,Open_Sea
cg23518497,Intergenic,chr12,Open_Sea
cg23521140,Intergenic,chr2,Open_Sea
cg23521666,Intergenic,chr12,Open_Sea
cg23523659,Intergenic,chr10,Open_Sea
cg23523728,Intergenic,chr15,Open_Sea
cg23524354,Intergenic,chr13,Open_Sea
cg23529249,Intergenic,chr15,Open_Sea
cg23532927,Intergenic,chr7,Open_Sea
cg23535322,Intergenic,chr14,Open_Sea
cg23536629,Intergenic,chr10,Island
cg23538773,Intergenic,chr14,Island
cg23539633,Intergenic,chr11,Open_Sea
cg23542274,Intergenic,chr11,Open_Sea
cg23542902,Intergenic,chr3,Open_Sea
cg23542948,Intergenic,chr3,Open_Sea
cg23545828,Intergenic,chr10,Open_Sea
cg23552820,Intergenic,chr17,Open_Sea
cg23554497,Intergenic,chr12,S_Shore
cg23554932,Intergenic,*,Open_Sea
cg23555395,Intergenic,chr2,Open_Sea
cg23557755,Intergenic,chr7,Open_Sea
cg23557769,Intergenic,chr22,S_Shelf
cg23561531,Intergenic,chr11,Open_Sea
cg23564309,Intergenic,*,Open_Sea
cg23568538,Intergenic,chr8,Open_Sea
cg23570694,Intergenic,chr10,Island
cg23574443,Intergenic,chr17,Open_Sea
cg23575754,Intergenic,chr2,Island
cg23577033,Intergenic,chr10,S_Shelf
cg23578733,Intergenic,chr14,Open_Sea
cg23583501,Intergenic,chr14,Open_Sea
cg23585686,Intergenic,chr2,Island
cg23585835,Intergenic,chr8,Island
cg23586549,Intergenic,chr10,S_Shelf
cg23586792,Intergenic,chr2,Open_Sea
cg23588462,Intergenic,chr13,N_Shore
cg23589237,Intergenic,chr1,Open_Sea
cg23589587,Intergenic,chr1,Open_Sea
cg23590404,Intergenic,chr8,Open_Sea
cg23595601,Intergenic,chr7,Open_Sea
cg23596244,Intergenic,chr11,S_Shelf
cg23597264,Intergenic,chr2,N_Shelf
cg23599033,Intergenic,chr2,Open_Sea
cg23601030,Intergenic,chr20,Island
cg23602752,Intergenic,chr1,S_Shelf
cg23603027,Intergenic,chr2,N_Shore
cg23603194,Intergenic,chr1,N_Shore
cg23605843,Intergenic,chr1,N_Shore
cg23606925,Intergenic,chr10,S_Shore
cg23609027,Intergenic,chr6,Open_Sea
cg23610041,Intergenic,chr20,N_Shore
cg23610453,Intergenic,chr10,Island
cg23611697,Intergenic,chr2,Open_Sea
cg23612484,Intergenic,chr7,Island
cg23612849,Intergenic,chr10,Open_Sea
cg23613023,Intergenic,chr12,Open_Sea
cg23615488,Intergenic,chr1,Open_Sea
cg23615741,Intergenic,chr10,Island
cg23616524,Intergenic,chr7,Island
cg23619357,Intergenic,chr1,N_Shore
cg23619365,Intergenic,chr13,Island
cg23619936,Intergenic,chr2,S_Shore
cg23620902,Intergenic,chr2,Open_Sea
cg23623060,Intergenic,chr1,N_Shelf
cg23624725,Intergenic,chr11,Open_Sea
cg23626762,Intergenic,chr8,Open_Sea
cg23630131,Intergenic,chr7,S_Shore
cg23632656,Intergenic,chr17,Open_Sea
cg23632985,Intergenic,chr11,Island
cg23633028,Intergenic,chr6,Open_Sea
cg23634554,Intergenic,chr10,Open_Sea
cg23637354,Intergenic,chr6,Open_Sea
cg23638252,Intergenic,chr1,S_Shore
cg23639196,Intergenic,chr2,S_Shelf
cg23639642,Intergenic,chr7,Open_Sea
cg23641319,Intergenic,chr8,S_Shelf
cg23643466,Intergenic,chr10,Open_Sea
cg23643973,Intergenic,*,Open_Sea
cg23644854,Intergenic,chr9,Island
cg23645373,Intergenic,chr7,Open_Sea
cg23647610,Intergenic,chr7,Open_Sea
cg23648516,Intergenic,chr13,Open_Sea
cg23651658,Intergenic,chr18,Island
cg23652484,Intergenic,chr1,Open_Sea
cg23653240,Intergenic,chr10,Open_Sea
cg23653492,Intergenic,chr12,Open_Sea
cg23656300,Intergenic,chr10,Open_Sea
cg23657299,Intergenic,chr6,S_Shore
cg23657694,Intergenic,*,Open_Sea
cg23657718,Intergenic,chr4,S_Shore
cg23657809,Intergenic,chr1,Open_Sea
cg23658684,Intergenic,chr19,S_Shelf
cg23660866,Intergenic,chr14,Open_Sea
cg23661466,Intergenic,chr10,Open_Sea
cg23662142,Intergenic,chr20,N_Shore
cg23662323,Intergenic,chr19,N_Shore
cg23663428,Intergenic,chr1,S_Shore
cg23664334,Intergenic,*,Open_Sea
cg23664396,Intergenic,chr1,S_Shore
cg23667734,Intergenic,chr17,Island
cg23668195,Intergenic,chr2,Open_Sea
cg23670519,Intergenic,chr1,Open_Sea
cg23674602,Intergenic,chr10,S_Shelf
cg23675401,Intergenic,chr4,Island
cg23676577,Intergenic,chr14,Island
cg23677291,Intergenic,chr11,Open_Sea
cg23678364,Intergenic,chr4,Open_Sea
cg23679471,Intergenic,chr10,Island
cg23680787,Intergenic,chr14,Open_Sea
cg23683254,Intergenic,chr14,Island
cg23683800,Intergenic,chr10,Open_Sea
cg23686831,Intergenic,chr15,S_Shore
cg23688713,Intergenic,chr7,Open_Sea
cg23690350,Intergenic,chr7,S_Shore
cg23692620,Intergenic,chr19,Island
cg23692680,Intergenic,chr8,Open_Sea
cg23693245,Intergenic,chr17,Open_Sea
cg23693548,Intergenic,chr1,Open_Sea
cg23697093,Intergenic,chr14,S_Shore
cg23697202,Intergenic,chr6,N_Shore
cg23697406,Intergenic,chr7,Open_Sea
cg23697796,Intergenic,chr10,Open_Sea
cg23698978,Intergenic,chr7,S_Shore
cg23699463,Intergenic,chr8,Open_Sea
cg23703687,Intergenic,chr7,Open_Sea
cg23704517,Intergenic,chr13,N_Shore
cg23705064,Intergenic,chr15,Open_Sea
cg23705108,Intergenic,chr4,Open_Sea
cg23705938,Intergenic,chr14,N_Shore
cg23708209,Intergenic,chr15,Open_Sea
cg23708337,Intergenic,chr7,Open_Sea
cg23709476,Intergenic,chr15,S_Shore
cg23709913,Intergenic,chr2,Island
cg23710945,Intergenic,chr8,Open_Sea
cg23711051,Intergenic,chr1,Open_Sea
cg23712401,Intergenic,chr10,Open_Sea
cg23713079,Intergenic,chr5,Island
cg23714019,Intergenic,chr14,Open_Sea
cg23717764,Intergenic,chr8,S_Shelf
cg23726526,Intergenic,chr9,Island
cg23726802,Intergenic,chr7,Open_Sea
cg23728085,Intergenic,chr7,Open_Sea
cg23728819,Intergenic,chr10,Open_Sea
cg23729200,Intergenic,chr10,N_Shelf
cg23729279,Intergenic,chr12,N_Shore
cg23730109,Intergenic,chr3,Open_Sea
cg23730788,Intergenic,chr2,Island
cg23732729,Intergenic,chr2,Open_Sea
cg23737927,Intergenic,chr12,N_Shelf
cg23738384,Intergenic,chr10,Open_Sea
cg23740473,Intergenic,chr7,Island
cg23740491,Intergenic,chr6,Island
cg23746347,Intergenic,chr22,Island
cg23751171,Intergenic,chr12,Open_Sea
cg23756238,Intergenic,chr18,Open_Sea
cg23756265,Intergenic,chr11,Open_Sea
cg23760687,Intergenic,chr13,S_Shore
cg23760778,Intergenic,chr17,S_Shore
cg23765027,Intergenic,*,Open_Sea
cg23765633,Intergenic,chr7,S_Shelf
cg23768829,Intergenic,chr10,N_Shore
cg23770524,Intergenic,chr13,Open_Sea
cg23771956,Intergenic,chr10,Island
cg23777302,Intergenic,chr11,Island
cg23779240,Intergenic,chr10,N_Shelf
cg23780731,Intergenic,chr22,S_Shelf
cg23781334,Intergenic,chr4,Island
cg23785761,Intergenic,*,Open_Sea
cg23790554,Intergenic,chr8,S_Shelf
cg23791600,Intergenic,chr22,S_Shore
cg23791718,Intergenic,chr8,S_Shelf
cg23792658,Intergenic,chr4,S_Shore
cg23793104,Intergenic,chr4,N_Shore
cg23793336,Intergenic,chr4,Open_Sea
cg23795633,Intergenic,chr12,Island
cg23796130,Intergenic,chr7,Open_Sea
cg23798668,Intergenic,chr11,N_Shelf
cg23802307,Intergenic,chr13,N_Shore
cg23804842,Intergenic,*,Open_Sea
cg23806549,Intergenic,chr1,S_Shore
cg23810463,Intergenic,chr11,Open_Sea
cg23811057,Intergenic,chr1,Open_Sea
cg23812195,Intergenic,chr1,N_Shelf
cg23812680,Intergenic,chr6,Open_Sea
cg23813156,Intergenic,chr20,Island
cg23817096,Intergenic,chr6,Island
cg23817336,Intergenic,chr6,Open_Sea
cg23819330,Intergenic,chr4,S_Shelf
cg23821145,Intergenic,chr4,Island
cg23822312,Intergenic,chr1,Open_Sea
cg23822732,Intergenic,chr2,Open_Sea
cg23826980,Intergenic,chr12,Island
cg23829102,Intergenic,chr4,Open_Sea
cg23829518,Intergenic,chr17,Open_Sea
cg23829948,Intergenic,chr4,Open_Sea
cg23831893,Intergenic,*,Open_Sea
cg23833033,Intergenic,chr2,N_Shelf
cg23833543,Intergenic,chr8,S_Shore
cg23837282,Intergenic,chr20,N_Shelf
cg23840988,Intergenic,chr11,Open_Sea
cg23842109,Intergenic,chr2,Open_Sea
cg23843022,Intergenic,chr1,Open_Sea
cg23848152,Intergenic,*,Open_Sea
cg23853026,Intergenic,chr4,S_Shelf
cg23856413,Intergenic,chr6,Island
cg23860325,Intergenic,chr7,Open_Sea
cg23861304,Intergenic,chr6,Open_Sea
cg23861420,Intergenic,chr11,Open_Sea
cg23864949,Intergenic,chr8,N_Shore
cg23871081,Intergenic,chr10,N_Shore
cg23871507,Intergenic,chr6,Open_Sea
cg23873996,Intergenic,chr6,Open_Sea
cg23874775,Intergenic,chr7,Open_Sea
cg23875404,Intergenic,chr13,N_Shore
cg23877734,Intergenic,*,Open_Sea
cg23878730,Intergenic,chr14,Open_Sea
cg23879937,Intergenic,chr4,Open_Sea
cg23881653,Intergenic,chr2,Open_Sea
cg23883265,Intergenic,chr2,Open_Sea
cg23887776,Intergenic,chr1,Island
cg23888776,Intergenic,*,Open_Sea
cg23889914,Intergenic,*,Open_Sea
cg23890008,Intergenic,chr11,Open_Sea
cg23891996,Intergenic,chr19,Island
cg23892924,Intergenic,chr2,Open_Sea
cg23893898,Intergenic,chr4,Island
cg23894086,Intergenic,chr7,Island
cg23896850,Intergenic,*,Open_Sea
cg23897613,Intergenic,chr6,Open_Sea
cg23899057,Intergenic,chr12,Open_Sea
cg23900696,Intergenic,chr12,Open_Sea
cg23902610,Intergenic,chr2,Open_Sea
cg23904955,Intergenic,chr10,Island
cg23905164,Intergenic,chr17,Island
cg23909173,Intergenic,chr14,Open_Sea
cg23910524,Intergenic,chr10,Open_Sea
cg23912081,Intergenic,chr2,Island
cg23913077,Intergenic,chr10,Open_Sea
cg23913421,Intergenic,chr6,Open_Sea
cg23915527,Intergenic,chr1,N_Shore
cg23917744,Intergenic,chr12,S_Shelf
cg23922518,Intergenic,chr6,Open_Sea
cg23924370,Intergenic,chr2,Island
cg23925283,Intergenic,chr2,Open_Sea
cg23926439,Intergenic,chr1,Island
cg23927744,Intergenic,*,Open_Sea
cg23929036,Intergenic,chr1,Open_Sea
cg23931150,Intergenic,chr10,Open_Sea
cg23932261,Intergenic,chr1,Island
cg23933216,Intergenic,*,Open_Sea
cg23934404,Intergenic,chr13,N_Shore
cg23934700,Intergenic,chr14,Island
cg23935054,Intergenic,*,Open_Sea
cg23939096,Intergenic,chr5,S_Shelf
cg23940732,Intergenic,chr7,Open_Sea
cg23942974,Intergenic,chr5,Island
cg23943495,Intergenic,chr19,N_Shore
cg23944920,Intergenic,chr2,N_Shelf
cg23945265,Intergenic,chr17,S_Shore
cg23947828,Intergenic,chr14,N_Shore
cg23948204,Intergenic,chr5,Island
cg23948236,Intergenic,chr5,Open_Sea
cg23948391,Intergenic,chr15,Island
cg23949667,Intergenic,chr3,Open_Sea
